,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
262,5874408,Cozy JP resting place,42.30509466,-71.11347198,House,2,1.0,1.0,1.0,98.0
263,7693009,Sweet quiet room in JP condo,42.30979784,-71.10174213,Apartment,2,1.0,1.0,1.0,97.0
264,3775876,Private room in Jamaica Plain!,42.30514213,-71.10732686,Apartment,2,1.0,1.0,1.0,86.0
265,3693850,Earth Sanctuary of Abundant Health,42.29982378,-71.1125722,Condominium,1,1.0,1.0,1.0,96.0
266,4736217,Clean Room in the JP Neighborhood,42.31408312,-71.09973817,Apartment,1,1.0,1.0,1.0,80.0
267,14428514,"Affordable Boston, The dream of the 90's lives.",42.30731115,-71.10339731,Apartment,1,1.0,1.0,1.0,60.0
268,3021862,Luxurious Room includes Jacuzzi,42.29098870000001,-71.11273709999999,House,2,1.0,1.0,1.0,90.0
270,973840,Quiet and close to subway!,42.30866054,-71.10156432,Apartment,2,1.0,1.0,1.0,95.0
271,9575439,"Close to universities, hospitals",42.32137451,-71.1060596,House,2,1.0,1.0,1.0,94.0
272,4430821,Cheery skylit room w/ Queen bed,42.30516878,-71.11290753,Apartment,4,1.0,2.0,2.0,94.0
273,9591772,"Jamaica Plain condo, great location",42.32002043,-71.10459796,Apartment,4,1.5,2.0,2.0,100.0
274,3079305,Modern and charming condo in JP.,42.306943200000006,-71.11401575,Apartment,4,1.0,2.0,2.0,98.0
275,14474114,Cozy Room with Shared Bath,42.29366808,-71.11789414,Condominium,2,1.0,1.0,1.0,100.0
276,7789429,Diamond House -3- Victorian Jewel,42.31881359,-71.10321897,Apartment,5,1.0,2.0,3.0,100.0
277,1203014,Modern Townhouse in Hippest 'Hood,42.30601751,-71.10953839,Apartment,2,1.5,1.0,1.0,96.0
